,CO,FECHA-HORA,NO2,O3,PART,SO2
140,407,11/02/17-23:20,62,21,19,13
141,475,11/02/17-23:30,73,15,20,13
142,412,11/02/17-23:40,69,15,20,12
143,425,11/02/17-23:50,65,21,20,12
144,391,12/02/17-00:00,52,25,18,11
1,416,12/02/17-00:10,65,30,17,13
2,238,12/02/17-00:20,31,74,5,11
3,142,12/02/17-00:30,14,85,3,9
4,117,12/02/17-00:40,10,86,4,10
5,118,12/02/17-00:50,12,80,4,10
6,150,12/02/17-01:00,14,77,5,10
7,119,12/02/17-01:10,18,71,6,10
8,190,12/02/17-01:20,25,65,7,11
9,117,12/02/17-01:30,22,66,8,12
10,202,12/02/17-01:40,29,54,9,12
11,233,12/02/17-01:50,33,54,10,11
12,233,12/02/17-02:00,32,57,9,10
13,233,12/02/17-02:10,24,57,9,9
14,225,12/02/17-02:20,23,60,9,9
15,224,12/02/17-02:30,20,60,9,9
16,201,12/02/17-02:40,21,57,10,9
17,233,12/02/17-02:50,29,51,10,9
18,233,12/02/17-03:00,24,56,9,9
19,233,12/02/17-03:10,23,54,9,9
20,233,12/02/17-03:20,25,52,10,10
21,233,12/02/17-03:30,28,49,10,11
22,233,12/02/17-03:40,27,52,9,8
23,195,12/02/17-03:50,15,60,7,8
24,124,12/02/17-04:00,12,62,7,9
25,164,12/02/17-04:10,16,54,7,8
26,228,12/02/17-04:20,34,47,7,10
27,171,12/02/17-04:30,21,58,8,10
28,232,12/02/17-04:40,24,48,8,10
29,160,12/02/17-04:50,17,63,8,10
30,117,12/02/17-05:00,14,72,9,10
31,117,12/02/17-05:10,10,80,9,10
32,117,12/02/17-05:20,9,78,10,11
33,152,12/02/17-05:30,18,69,10,10
34,158,12/02/17-05:40,12,78,10,9
35,120,12/02/17-05:50,10,82,9,9
36,117,12/02/17-06:00,7,83,9,9
37,117,12/02/17-06:10,7,85,8,8
38,117,12/02/17-06:20,6,86,7,7
39,117,12/02/17-06:30,6,88,7,7
40,117,12/02/17-06:40,5,88,8,8
41,117,12/02/17-06:50,6,88,7,7
42,117,12/02/17-07:00,5,87,7,5
43,117,12/02/17-07:10,7,86,7,6
44,117,12/02/17-07:20,9,87,7,6
45,146,12/02/17-07:30,8,89,6,5
46,117,12/02/17-07:40,8,89,5,5
47,117,12/02/17-07:50,10,88,6,5
48,119,12/02/17-08:00,13,82,6,5
49,117,12/02/17-08:10,20,79,7,4
50,117,12/02/17-08:20,19,81,7,4
51,117,12/02/17-08:30,13,86,8,2
52,117,12/02/17-08:40,21,70,7,3
53,117,12/02/17-08:50,21,88,6,4
54,154,12/02/17-09:00,14,83,6,4
55,117,12/02/17-09:10,15,85,7,5
56,117,12/02/17-09:20,11,88,8,4
57,117,12/02/17-09:30,13,87,8,4
58,117,12/02/17-09:40,10,89,10,3
59,117,12/02/17-09:50,15,82,10,4
60,117,12/02/17-10:00,11,87,10,4
61,117,12/02/17-10:10,10,85,11,5
62,117,12/02/17-10:20,14,77,13,4
63,117,12/02/17-10:30,14,83,14,7
64,117,12/02/17-10:40,11,83,14,6
65,120,12/02/17-10:50,12,81,14,3
66,117,12/02/17-11:00,9,87,12,2
67,117,12/02/17-11:10,9,87,10,1
68,117,12/02/17-11:20,9,87,10,3
69,117,12/02/17-11:30,12,86,9,2
70,117,12/02/17-11:40,10,89,8,4
71,117,12/02/17-11:50,9,88,10,5
72,154,12/02/17-12:00,13,85,14,5
73,117,12/02/17-12:10,9,90,11,3
74,117,12/02/17-12:20,8,89,11,5
75,118,12/02/17-12:30,10,89,10,3
76,125,12/02/17-12:40,12,87,8,3
77,117,12/02/17-12:50,10,93,6,3
78,117,12/02/17-13:00,8,93,7,4
79,117,12/02/17-13:10,8,93,8,4
80,117,12/02/17-13:20,9,92,7,2
81,132,12/02/17-13:30,11,91,8,2
82,128,12/02/17-13:40,9,92,9,2
83,157,12/02/17-13:50,11,90,9,2
84,117,12/02/17-14:00,11,93,8,2
85,117,12/02/17-14:10,9,95,6,1
86,117,12/02/17-14:20,10,94,7,1
87,117,12/02/17-14:30,10,92,8,1
88,117,12/02/17-14:40,10,92,7,1
89,117,12/02/17-14:50,9,94,7,2
90,117,12/02/17-15:00,9,92,7,2
91,117,12/02/17-15:10,9,90,8,1
92,117,12/02/17-15:20,9,86,5,2
93,117,12/02/17-15:30,9,82,6,3
94,117,12/02/17-15:40,10,82,5,1
95,117,12/02/17-15:50,8,83,5,1
96,117,12/02/17-16:00,8,82,5,1
97,117,12/02/17-16:10,9,82,4,1
